bed	seed	seat0	seat1	x0	x1	share0
short-range	1	Meadow=Spur	Tor	0.0000	13.1600	0.000
short-range	1	Meadow=Spur	Cairn	0.0000	13.1600	0.000
short-range	1	Meadow=Spur	Delta=Ford	13.1483	13.1052	0.501
short-range	1	Meadow=Spur	Range=Strait	13.1483	13.1544	0.500
short-range	1	Meadow=Spur	Scarp	0.0000	13.1945	0.000
short-range	1	Tor	Meadow=Spur	13.1600	0.0000	1.000
short-range	1	Tor	Cairn	0.0000	13.1600	0.000
short-range	1	Tor	Delta=Ford	13.1600	0.0000	1.000
short-range	1	Tor	Range=Strait	13.1600	0.0000	1.000
short-range	1	Tor	Scarp	0.0000	13.1945	0.000
short-range	1	Cairn	Meadow=Spur	13.1600	0.0000	1.000
short-range	1	Cairn	Tor	13.1600	0.0000	1.000
short-range	1	Cairn	Delta=Ford	13.1600	0.0000	1.000
short-range	1	Cairn	Range=Strait	13.1600	0.0000	1.000
short-range	1	Cairn	Scarp	0.0000	13.1945	0.000
short-range	1	Delta=Ford	Meadow=Spur	13.1052	13.1483	0.499
short-range	1	Delta=Ford	Tor	0.0000	13.1600	0.000
short-range	1	Delta=Ford	Cairn	0.0000	13.1600	0.000
short-range	1	Delta=Ford	Range=Strait	13.1052	13.1544	0.499
short-range	1	Delta=Ford	Scarp	0.0000	13.1945	0.000
short-range	1	Range=Strait	Meadow=Spur	13.1544	13.1483	0.500
short-range	1	Range=Strait	Tor	0.0000	13.1600	0.000
short-range	1	Range=Strait	Cairn	0.0000	13.1600	0.000
short-range	1	Range=Strait	Delta=Ford	13.1544	13.1052	0.501
short-range	1	Range=Strait	Scarp	0.0000	13.1945	0.000
short-range	1	Scarp	Meadow=Spur	13.1945	0.0000	1.000
short-range	1	Scarp	Tor	13.1945	0.0000	1.000
short-range	1	Scarp	Cairn	13.1945	0.0000	1.000
short-range	1	Scarp	Delta=Ford	13.1945	0.0000	1.000
short-range	1	Scarp	Range=Strait	13.1945	0.0000	1.000
short-range	7	Meadow=Spur	Tor	0.0000	13.1600	0.000
short-range	7	Meadow=Spur	Cairn	0.0000	13.1600	0.000
short-range	7	Meadow=Spur	Delta=Ford	13.1483	13.1052	0.501
short-range	7	Meadow=Spur	Range=Strait	13.1483	13.1544	0.500
short-range	7	Meadow=Spur	Scarp	0.0000	13.1945	0.000
short-range	7	Tor	Meadow=Spur	13.1600	0.0000	1.000
short-range	7	Tor	Cairn	0.0000	13.1400	0.000
short-range	7	Tor	Delta=Ford	13.1600	0.0000	1.000
short-range	7	Tor	Range=Strait	13.1600	0.0000	1.000
short-range	7	Tor	Scarp	0.0000	13.1945	0.000
short-range	7	Cairn	Meadow=Spur	13.1600	0.0000	1.000
short-range	7	Cairn	Tor	13.1600	0.0000	1.000
short-range	7	Cairn	Delta=Ford	13.1600	0.0000	1.000
short-range	7	Cairn	Range=Strait	13.1600	0.0000	1.000
short-range	7	Cairn	Scarp	0.0000	13.1945	0.000
short-range	7	Delta=Ford	Meadow=Spur	13.1052	13.1483	0.499
short-range	7	Delta=Ford	Tor	0.0000	13.1600	0.000
short-range	7	Delta=Ford	Cairn	0.0000	13.1600	0.000
short-range	7	Delta=Ford	Range=Strait	13.1052	13.1544	0.499
short-range	7	Delta=Ford	Scarp	0.0000	13.1945	0.000
short-range	7	Range=Strait	Meadow=Spur	13.1544	13.1483	0.500
short-range	7	Range=Strait	Tor	0.0000	13.1600	0.000
short-range	7	Range=Strait	Cairn	0.0000	13.1600	0.000
short-range	7	Range=Strait	Delta=Ford	13.1544	13.1052	0.501
short-range	7	Range=Strait	Scarp	0.0000	13.1945	0.000
short-range	7	Scarp	Meadow=Spur	13.1945	0.0000	1.000
short-range	7	Scarp	Tor	13.1945	0.0000	1.000
