knob	arm	value	seed	horizon	players	expansion	growth	production	warfare	politics
(default)	base	NaN	1	1500	3	2500075.0000	1149145.0000	1383920.5000	0.0000	2500075.0000
(default)	base	NaN	7	1500	3	2628775.0000	961877.5000	1401213.0000	-0.0000	2628775.0000
(default)	base	NaN	42	1500	3	2576375.0000	1201662.5000	1401261.0000	0.0000	2576375.0000
(default)	base	NaN	31337	1500	3	2665625.0000	1092372.5000	1340558.5000	0.0000	2665625.0000
growth_rate	hi	0.9603000000	1	1500	3	2552850.0000	1170737.5000	1438578.5000	0.0000	2552850.0000
growth_rate	lo	0.7857000000	1	1500	3	2444225.0000	1006287.5000	1355742.0000	0.0000	2444225.0000
growth_rate	hi	0.9603000000	7	1500	3	2689950.0000	950725.0000	1401422.0000	-0.0000	2689950.0000
growth_rate	lo	0.7857000000	7	1500	3	2575250.0000	920625.0000	1369851.5000	-0.0000	2575250.0000
growth_rate	hi	0.9603000000	42	1500	3	2634950.0000	1202435.0000	1451996.0000	0.0000	2634950.0000
growth_rate	lo	0.7857000000	42	1500	3	2527350.0000	1211360.0000	1376213.0000	0.0000	2527350.0000
growth_rate	hi	0.9603000000	31337	1500	3	2728825.0000	1163052.5000	1372988.0000	0.0000	2728825.0000
growth_rate	lo	0.7857000000	31337	1500	3	2603775.0000	1029185.0000	1334286.5000	0.0000	2603775.0000
biosphere_regen_rate	hi	0.1397000000	1	1500	3	2500075.0000	1149145.0000	1383920.5000	0.0000	2500075.0000
biosphere_regen_rate	lo	0.1143000000	1	1500	3	2500075.0000	1149145.0000	1383920.5000	0.0000	2500075.0000
biosphere_regen_rate	hi	0.1397000000	7	1500	3	2628775.0000	961877.5000	1401213.0000	-0.0000	2628775.0000
biosphere_regen_rate	lo	0.1143000000	7	1500	3	2628775.0000	961877.5000	1401213.0000	-0.0000	2628775.0000
biosphere_regen_rate	hi	0.1397000000	42	1500	3	2576375.0000	1201662.5000	1401261.0000	0.0000	2576375.0000
biosphere_regen_rate	lo	0.1143000000	42	1500	3	2576375.0000	1201662.5000	1401261.0000	0.0000	2576375.0000
biosphere_regen_rate	hi	0.1397000000	31337	1500	3	2665625.0000	1092372.5000	1340558.5000	0.0000	2665625.0000
biosphere_regen_rate	lo	0.1143000000	31337	1500	3	2665625.0000	1092372.5000	1340558.5000	0.0000	2665625.0000
outpost_mining_fraction	hi	0.2618000000	1	1500	3	2533850.0000	1100157.5000	1377651.5000	0.0000	2533850.0000
outpost_mining_fraction	lo	0.2142000000	1	1500	3	2530075.0000	1122675.0000	1341316.0000	0.0000	2530075.0000
outpost_mining_fraction	hi	0.2618000000	7	1500	3	2516150.0000	971382.5000	1339163.5000	-0.0000	2516150.0000
outpost_mining_fraction	lo	0.2142000000	7	1500	3	2476075.0000	1030820.0000	1340820.5000	-0.0000	2476075.0000
outpost_mining_fraction	hi	0.2618000000	42	1500	3	2577250.0000	1366342.5000	1396210.5000	-0.0000	2577250.0000
outpost_mining_fraction	lo	0.2142000000	42	1500	3	2536175.0000	1229137.5000	1425180.0000	-0.0000	2536175.0000
outpost_mining_fraction	hi	0.2618000000	31337	1500	3	2710900.0000	1085337.5000	1328039.0000	0.0000	2710900.0000
outpost_mining_fraction	lo	0.2142000000	31337	1500	3	2675375.0000	1122072.5000	1322171.0000	0.0000	2675375.0000
center_mining_fraction	hi	0.1650000000	1	1500	3	2500075.0000	1149145.0000	1383920.5000	0.0000	2500075.0000
center_mining_fraction	lo	0.1350000000	1	1500	3	2500075.0000	1149145.0000	1383920.5000	0.0000	2500075.0000
center_mining_fraction	hi	0.1650000000	7	1500	3	2628775.0000	961877.5000	1401213.0000	-0.0000	2628775.0000
center_mining_fraction	lo	0.1350000000	7	1500	3	2628775.0000	961877.5000	1401213.0000	-0.0000	2628775.0000
center_mining_fraction	hi	0.1650000000	42	1500	3	2576375.0000	1201662.5000	1401261.0000	0.0000	2576375.0000
center_mining_fraction	lo	0.1350000000	42	1500	3	2576375.0000	1201662.5000	1401261.0000	0.0000	2576375.0000
center_mining_fraction	hi	0.1650000000	31337	1500	3	2665625.0000	1092372.5000	1340558.5000	0.0000	2665625.0000
center_mining_fraction	lo	0.1350000000	31337	1500	3	2665625.0000	1092372.5000	1340558.5000	0.0000	2665625.0000
veins_per_band	hi	11.0000000000	1	1500	3	2444700.0000	1142267.5000	1364220.5000	0.0000	2444700.0000
veins_per_band	lo	9.0000000000	1	1500	3	2480175.0000	1059252.5000	1396981.5000	-0.0000	2480175.0000
veins_per_band	hi	11.0000000000	7	1500	3	2504475.0000	1008407.5000	1327773.0000	-0.0000	2504475.0000
veins_per_band	lo	9.0000000000	7	1500	3	2490775.0000	932840.0000	1330025.0000	-0.0000	2490775.0000
veins_per_band	hi	11.0000000000	42	1500	3	2500825.0000	1145337.5000	1390378.0000	-0.0000	2500825.0000
veins_per_band	lo	9.0000000000	42	1500	3	2622400.0000	1282555.0000	1403878.5000	-0.0000	2622400.0000
veins_per_band	hi	11.0000000000	31337	1500	3	2671350.0000	1206900.0000	1348178.0000	0.0000	2671350.0000
veins_per_band	lo	9.0000000000	31337	1500	3	2654500.0000	1102745.0000	1327232.5000	0.0000	2654500.0000
crowding_beta	hi	0.5500000000	1	1500	3	2530625.0000	1107787.5000	1351988.5000	0.0000	2530625.0000
crowding_beta	lo	0.4500000000	1	1500	3	2583450.0000	1127895.0000	1393052.5000	0.0000	2583450.0000
